detection_path,path,coordinates,outputs,original,translation,translated,text_en,deepl
/work/pi_miyyer_umass_edu/ctpham/cs670-manga/data/input/detection/balloon_dream/ja/000.json,images/balloon_dream/ja/000.jpg,"[85, 637, 72, 222]","<text>オッ</text><translation>Oh!</translation><text>ブォ</text><translation>Boo</translation><text>だったら</text><translation>Then</translation><text>最初から翔ばない方がいい</text><translation>It's better not to fly at all from the beginning.</translation><text>高く翔ぶほど</text><translation>The higher you fly,</translation><text>太陽に溶かされてしまう</text><translation>the more you will melt in the sun.</translation><text>て</text><translation>and</translation><text>夢の翼は</text><translation>The wings of dreams are</translation><text>ある</text><translation>there</translation><text>蝋で固め</text><translation>solidified with wax</translation>",最初から翔ばない方がいい,It's better not to fly at all from the beginning.,It's better not to fly from the start,why fly in the first place.,Better not to fly in the first place.
/work/pi_miyyer_umass_edu/ctpham/cs670-manga/data/input/detection/balloon_dream/ja/000.json,images/balloon_dream/ja/000.jpg,"[703, 631, 52, 163]","<text>オッ</text><translation>Oh!</translation><text>ブォ</text><translation>Boo</translation><text>だったら</text><translation>Then</translation><text>最初から翔ばない方がいい</text><translation>It's better not to fly at all from the beginning.</translation><text>高く翔ぶほど</text><translation>The higher you fly,</translation><text>太陽に溶かされてしまう</text><translation>the more you will melt in the sun.</translation><text>て</text><translation>and</translation><text>夢の翼は</text><translation>The wings of dreams are</translation><text>ある</text><translation>there</translation><text>蝋で固め</text><translation>solidified with wax</translation>",高く翔ぶほど,"The higher you fly,",The higher they fly,"as it flys higher,",the higher one flies
/work/pi_miyyer_umass_edu/ctpham/cs670-manga/data/input/detection/balloon_dream/ja/000.json,images/balloon_dream/ja/000.jpg,"[496, 623, 74, 233]","<text>オッ</text><translation>Oh!</translation><text>ブォ</text><translation>Boo</translation><text>だったら</text><translation>Then</translation><text>最初から翔ばない方がいい</text><translation>It's better not to fly at all from the beginning.</translation><text>高く翔ぶほど</text><translation>The higher you fly,</translation><text>太陽に溶かされてしまう</text><translation>the more you will melt in the sun.</translation><text>て</text><translation>and</translation><text>夢の翼は</text><translation>The wings of dreams are</translation><text>ある</text><translation>there</translation><text>蝋で固め</text><translation>solidified with wax</translation>",太陽に溶かされてしまう,the more you will melt in the sun.,They will be melted by the sun,it'll melt by the sun.,The sun will melt you.
/work/pi_miyyer_umass_edu/ctpham/cs670-manga/data/input/detection/balloon_dream/ja/000.json,images/balloon_dream/ja/000.jpg,"[664, 104, 69, 250]","<text>オッ</text><translation>Oh!</translation><text>ブォ</text><translation>Boo</translation><text>だったら</text><translation>Then</translation><text>最初から翔ばない方がいい</text><translation>It's better not to fly at all from the beginning.</translation><text>高く翔ぶほど</text><translation>The higher you fly,</translation><text>太陽に溶かされてしまう</text><translation>the more you will melt in the sun.</translation><text>て</text><translation>and</translation><text>夢の翼は</text><translation>The wings of dreams are</translation><text>ある</text><translation>there</translation><text>蝋で固め</text><translation>solidified with wax</translation>",夢の翼は,The wings of dreams are,The wings of dreams are,"the wings of dreams,",The wings of a dream
/work/pi_miyyer_umass_edu/ctpham/cs670-manga/data/input/detection/balloon_dream/ja/003.json,images/balloon_dream/ja/003.jpg,"[98, 680, 55, 129]","<text>十年後ー夏</text><translation>Ten years later - Summer</translation><text>お前には一流の大学を目指す学力がある</text><translation>You have the academic ability to aim for a top university.</translation><text>相川仁</text><translation>Aikawa Jin</translation><text>実に夢がない</text><translation>He really has no dreams.</translation><text>お前のようなかわいくない生徒には</text><translation>For students who aren't as cute as you,</translation><text>色々とモノを頼みやすい</text><translation>It's easier to ask for various things.</translation><text>楽で安全な道があるならそちらを選ぶべきでしょう</text><translation>If there is an easy and safe path, you should choose it.</translation><text>俺間違ってます？</text><translation>Am I wrong?</translation><text>夢．．．？くだらない</text><translation>Dreams...? Ridiculous.</translation><text>いいぞぉ相川．．．</text><translation>Good job, Aikawa...</translation><text>なのになぜ三流大の推薦なんかを狙う？</text><translation>Then why are you aiming for a recommendation from a third-rate university?</translation><text>？</text><translation>?</translation>",色々とモノを頼みやすい,It's easier to ask for various things.,It's easy to ask for various things,are more easy to ask a favor of.,Easy to ask for things.
/work/pi_miyyer_umass_edu/ctpham/cs670-manga/data/input/detection/balloon_dream/ja/003.json,images/balloon_dream/ja/003.jpg,"[436, 623, 96, 122]","<text>十年後ー夏</text><translation>Ten years later - Summer</translation><text>お前には一流の大学を目指す学力がある</text><translation>You have the academic ability to aim for a top university.</translation><text>相川仁</text><translation>Aikawa Jin</translation><text>実に夢がない</text><translation>He really has no dreams.</translation><text>お前のようなかわいくない生徒には</text><translation>For students who aren't as cute as you,</translation><text>色々とモノを頼みやすい</text><translation>It's easier to ask for various things.</translation><text>楽で安全な道があるならそちらを選ぶべきでしょう</text><translation>If there is an easy and safe path, you should choose it.</translation><text>俺間違ってます？</text><translation>Am I wrong?</translation><text>夢．．．？くだらない</text><translation>Dreams...? Ridiculous.</translation><text>いいぞぉ相川．．．</text><translation>Good job, Aikawa...</translation><text>なのになぜ三流大の推薦なんかを狙う？</text><translation>Then why are you aiming for a recommendation from a third-rate university?</translation><text>？</text><translation>?</translation>",楽で安全な道があるならそちらを選ぶべきでしょう,"If there is an easy and safe path, you should choose it.","If there is an easy and safe path, it should be chosen",It's better to choose an easier and safer path,"If there is an easier and safer path, then that's the one you should choose."
/work/pi_miyyer_umass_edu/ctpham/cs670-manga/data/input/detection/balloon_dream/ja/003.json,images/balloon_dream/ja/003.jpg,"[134, 550, 72, 117]","<text>十年後ー夏</text><translation>Ten years later - Summer</translation><text>お前には一流の大学を目指す学力がある</text><translation>You have the academic ability to aim for a top university.</translation><text>相川仁</text><translation>Aikawa Jin</translation><text>実に夢がない</text><translation>He really has no dreams.</translation><text>お前のようなかわいくない生徒には</text><translation>For students who aren't as cute as you,</translation><text>色々とモノを頼みやすい</text><translation>It's easier to ask for various things.</translation><text>楽で安全な道があるならそちらを選ぶべきでしょう</text><translation>If there is an easy and safe path, you should choose it.</translation><text>俺間違ってます？</text><translation>Am I wrong?</translation><text>夢．．．？くだらない</text><translation>Dreams...? Ridiculous.</translation><text>いいぞぉ相川．．．</text><translation>Good job, Aikawa...</translation><text>なのになぜ三流大の推薦なんかを狙う？</text><translation>Then why are you aiming for a recommendation from a third-rate university?</translation><text>？</text><translation>?</translation>",お前のようなかわいくない生徒には,"For students who aren't as cute as you,",For a student like you who is not cute,saucy students like you,For a not-so-pretty student like you.
/work/pi_miyyer_umass_edu/ctpham/cs670-manga/data/input/detection/balloon_dream/ja/003.json,images/balloon_dream/ja/003.jpg,"[113, 296, 83, 139]","<text>十年後ー夏</text><translation>Ten years later - Summer</translation><text>お前には一流の大学を目指す学力がある</text><translation>You have the academic ability to aim for a top university.</translation><text>相川仁</text><translation>Aikawa Jin</translation><text>実に夢がない</text><translation>He really has no dreams.</translation><text>お前のようなかわいくない生徒には</text><translation>For students who aren't as cute as you,</translation><text>色々とモノを頼みやすい</text><translation>It's easier to ask for various things.</translation><text>楽で安全な道があるならそちらを選ぶべきでしょう</text><translation>If there is an easy and safe path, you should choose it.</translation><text>俺間違ってます？</text><translation>Am I wrong?</translation><text>夢．．．？くだらない</text><translation>Dreams...? Ridiculous.</translation><text>いいぞぉ相川．．．</text><translation>Good job, Aikawa...</translation><text>なのになぜ三流大の推薦なんかを狙う？</text><translation>Then why are you aiming for a recommendation from a third-rate university?</translation><text>？</text><translation>?</translation>",実に夢がない,He really has no dreams.,There is no dream at all,don't you have aspirations?,very dreamy
/work/pi_miyyer_umass_edu/ctpham/cs670-manga/data/input/detection/balloon_dream/ja/003.json,images/balloon_dream/ja/003.jpg,"[94, 50, 91, 172]","<text>十年後ー夏</text><translation>Ten years later - Summer</translation><text>お前には一流の大学を目指す学力がある</text><translation>You have the academic ability to aim for a top university.</translation><text>相川仁</text><translation>Aikawa Jin</translation><text>実に夢がない</text><translation>He really has no dreams.</translation><text>お前のようなかわいくない生徒には</text><translation>For students who aren't as cute as you,</translation><text>色々とモノを頼みやすい</text><translation>It's easier to ask for various things.</translation><text>楽で安全な道があるならそちらを選ぶべきでしょう</text><translation>If there is an easy and safe path, you should choose it.</translation><text>俺間違ってます？</text><translation>Am I wrong?</translation><text>夢．．．？くだらない</text><translation>Dreams...? Ridiculous.</translation><text>いいぞぉ相川．．．</text><translation>Good job, Aikawa...</translation><text>なのになぜ三流大の推薦なんかを狙う？</text><translation>Then why are you aiming for a recommendation from a third-rate university?</translation><text>？</text><translation>?</translation>",お前には一流の大学を目指す学力がある,You have the academic ability to aim for a top university.,You have the academic ability to aim for a top university,"
you have the academic ability to enter those top universities.",You have the academic credentials to go to a top college.
/work/pi_miyyer_umass_edu/ctpham/cs670-manga/data/input/detection/balloon_dream/ja/003.json,images/balloon_dream/ja/003.jpg,"[222, 41, 39, 92]","<text>十年後ー夏</text><translation>Ten years later - Summer</translation><text>お前には一流の大学を目指す学力がある</text><translation>You have the academic ability to aim for a top university.</translation><text>相川仁</text><translation>Aikawa Jin</translation><text>実に夢がない</text><translation>He really has no dreams.</translation><text>お前のようなかわいくない生徒には</text><translation>For students who aren't as cute as you,</translation><text>色々とモノを頼みやすい</text><translation>It's easier to ask for various things.</translation><text>楽で安全な道があるならそちらを選ぶべきでしょう</text><translation>If there is an easy and safe path, you should choose it.</translation><text>俺間違ってます？</text><translation>Am I wrong?</translation><text>夢．．．？くだらない</text><translation>Dreams...? Ridiculous.</translation><text>いいぞぉ相川．．．</text><translation>Good job, Aikawa...</translation><text>なのになぜ三流大の推薦なんかを狙う？</text><translation>Then why are you aiming for a recommendation from a third-rate university?</translation><text>？</text><translation>?</translation>",相川仁,Aikawa Jin,Koseki Toshiro,"Jin Aikawa,",Aikawa-Jin
