image_path,outputs
images/balloon_dream/ja/000.jpg,"<item_0>
    <text> 
    夢の翼は
    </text>
    <translation> 
    The wings of dreams are
    </translation>
</item_0>

<item_1>
    <text> 
    蝋で固めてある
    </text>
    <translation> 
    They are solidified with pitch
    </translation>
</item_1>

<item_2>
    <text> 
    高く翔ぶほど
    </text>
    <translation> 
    The higher they fly
    </translation>
</item_2>

<item_3>
    <text> 
    太陽に溶かされてしまう
    </text>
    <translation> 
    They will be melted by the sun
    </translation>
</item_3>

<item_4>
    <text> 
    ーだったら
    </text>
    <translation> 
    If it were
    </translation>
</item_4>

<item_5>
    <text> 
    最初から翔ばない方がいい
    </text>
    <translation> 
    It's better not to fly from the start
    </translation>
</item_5>"
images/balloon_dream/ja/001.jpg,"<item_0>
    <text> 
    いつか必ず
    </text>
    <translation> 
    Eventually
    </translation>
</item_0>

<item_1>
    <text> 
    失敗です!!
    </text>
    <translation> 
    It's a failure!!
    </translation>
</item_1>

<item_2>
    <text> 
    有人ロケット「あさがお」が爆発!
    </text>
    <translation> 
    The manned rocket ""Asagao"" exploded!
    </translation>
</item_2>

<item_3>
    <text> 
    地に落ちるのだから
    </text>
    <translation> 
    It will surely fall to the ground
    </translation>
</item_3>

<item_4>
    <text> 
    日本初の有人宇宙飛行は失敗しました!!
    </text>
    <translation> 
    The first manned space flight in Japan failed!!
    </translation>
</item_4>"
images/balloon_dream/ja/002.jpg,"<item_0>
    <text> 
    バルーンドリーム
    </text>
    <translation> 
    Balloon Dream
    </translation>
</item_0>

<item_1>
    <text> 
    朽鷹みつき
    </text>
    <translation> 
    Mitsuaki Kuroagi
    </translation>
</item_1>"
images/balloon_dream/ja/003.jpg,"<item_0>
    <text> 
    十年後ーー夏
    </text>
    <translation> 
    Ten years later—Summer
    </translation>
</item_0>

<item_1>
    <text> 
    相川仁
    </text>
    <translation> 
    Koseki Toshiro
    </translation>
</item_1>

<item_2>
    <text> 
    お前には一流の大学を目指す学力がある
    </text>
    <translation> 
    You have the academic ability to aim for a top university
    </translation>
</item_2>

<item_3>
    <text> 
    なのになぜ三流大の推薦なんかを狙う?
    </text>
    <translation> 
    Why are you aiming for a recommendation from a third-rate university?
    </translation>
</item_3>

<item_4>
    <text> 
    実に夢がない
    </text>
    <translation> 
    There is no dream at all
    </translation>
</item_4>

<item_5>
    <text> 
    夢...?くだらない
    </text>
    <translation> 
    Dream...? It's not worth it
    </translation>
</item_5>

<item_6>
    <text> 
    楽で安全な道があるならそちらを選ぶべきでしょう
    </text>
    <translation> 
    If there is an easy and safe path, it should be chosen
    </translation>
</item_6>

<item_7>
    <text> 
    俺間違ってます?
    </text>
    <translation> 
    Am I wrong?
    </translation>
</item_7>

<item_8>
    <text> 
    いいぞぉ相川...
    </text>
    <translation> 
    Good job, Koseki...
    </translation>
</item_8>

<item_9>
    <text> 
    お前のようなかわいくない生徒には
    </text>
    <translation> 
    For a student like you who is not cute
    </translation>
</item_9>

<item_10>
    <text> 
    色々とモノを頼みやすい
    </text>
    <translation> 
    It's easy to ask for various things
    </translation>
</item_10>

<item_11>
    <text> 
    ?
    </text>
    <translation> 
    ?
    </translation>
</item_11>"
images/balloon_dream/ja/004.jpg,"<item_0>
    <text> 
    お前には夏休みの間
    </text>
    <translation> 
    (During the summer vacation)
    </translation>
</item_0>

<item_1>
    <text> 
    我が天文部の手伝いをしてもらう
    </text>
    <translation> 
    (I will help with the astronomy club)
    </translation>
</item_1>

<item_2>
    <text> 
    ?
    </text>
    <translation> 
    (What?)
    </translation>
</item_2>

<item_3>
    <text> 
    ちょっ
    </text>
    <translation> 
    (Hey)
    </translation>
</item_3>

<item_4>
    <text> 
    なんで関係ない部活の手伝いなんかーー
    </text>
    <translation> 
    (Why should I help with an unrelated club activity?)
    </translation>
</item_4>

<item_5>
    <text> 
    まあ聞け
    </text>
    <translation> 
    (Okay, listen up)
    </translation>
</item_5>

<item_6>
    <text> 
    お前が石橋を叩いて渡るのが好きなのはわかるが
    </text>
    <translation> 
    (I understand that you like to pass the stone bridge)
    </translation>
</item_6>

<item_7>
    <text> 
    世の中虎穴に入らずんば虎子を得ずだ
    </text>
    <translation> 
    (If you don't enter the tiger's den, you won't get the tiger's cub)
    </translation>
</item_7>

<item_8>
    <text> 
    先生はそれをお前に教えたい
    </text>
    <translation> 
    (I want to teach you that)
    </translation>
</item_8>

<item_9>
    <text> 
    だから先生が温泉に行ってる間天文部を頼む
    </text>
    <translation> 
    (So, I'll ask the astronomy club to help during the time the teacher is at the hot springs)
    </translation>
</item_9>

<item_10>
    <text> 
    旅行してぇだけだろ!!
    </text>
    <translation> 
    (Just go on a trip, okay!!)
    </translation>
</item_10>"
images/balloon_dream/ja/005.jpg,"<item_0>
    <text> 
    ちっくしょ〜
    </text>
    <translation> 
    (Translated English text here)
    </translation>
</item_0>

<item_1>
    <text> 
    なぜ俺がこんなことを...
    </text>
    <translation> 
    Why am I doing this...
    </translation>
</item_1>

<item_2>
    <text> 
    手伝わんなら推薦はやらん
    </text>
    <translation> 
    If you won't help, I won't recommend you.
    </translation>
</item_2>

<item_3>
    <text> 
    脅迫じゃねーかあのパワハラ教師!!
    </text>
    <translation> 
    Are you threatening me, that power harassment teacher!?
    </translation>
</item_3>

<item_4>
    <text> 
    ...天文部
    </text>
    <translation> 
    ...Astronomy Club
    </translation>
</item_4>

<item_5>
    <text> 
    ここか
    </text>
    <translation> 
    Here?
    </translation>
</item_5>

<item_6>
    <text> 
    失礼しまーす
    </text>
    <translation> 
    Excuse me
    </translation>
</item_6>

<item_7>
    <text> 
    ん?
    </text>
    <translation> 
    Huh?
    </translation>
</item_7>

<item_8>
    <text> 
    うおおおおおおおおお!?
    </text>
    <translation> 
    Oh my god!?
    </translation>
</item_8>"
images/balloon_dream/ja/006.jpg,"<item_0>
    <text> 
    な、なんだこれ!?
    </text>
    <translation> 
    What's this?!
    </translation>
</item_0>

<item_1>
    <text> 
    ...風船?
    </text>
    <translation> 
    Balloons...?
    </translation>
</item_1>

<item_2>
    <text> 
    すっすみません今散らかってて
    </text>
    <translation> 
    I'm sorry, I'm making a mess right now.
    </translation>
</item_2>

<item_3>
    <text> 
    あっもしかしてお手伝いの方ですか?
    </text>
    <translation> 
    Is this someone who's here to help?
    </translation>
</item_3>

<item_4>
    <text> 
    ようこそ!
    </text>
    <translation> 
    Welcome!
    </translation>
</item_4>

<item_5>
    <text> 
    風船いっぱい夢いっぱいの天文部へ!
    </text>
    <translation> 
    Welcome to the astronomy club full of balloons and dreams!
    </translation>
</item_5>"
images/balloon_dream/ja/007.jpg,"<item_0>
    <text> 
    (Original Japanese text here)
    </text>
    <translation> 
    (Translated English text here)
    </translation>
</item_0>

<item_1>
    <text> 
    (Original Japanese text here)
    </text>
    <translation> 
    (Translated English text here)
    </translation>
</item_1>

<item_2>
    <text> 
    (Original Japanese text here)
    </text>
    <translation> 
    (Translated English text here)
    </translation>
</item_2>

<item_3>
    <text> 
    (Original Japanese text here)
    </text>
    <translation> 
    (Translated English text here)
    </translation>
</item_3>

<item_4>
    <text> 
    (Original Japanese text here)
    </text>
    <translation> 
    (Translated English text here)
    </translation>
</item_4>

<item_5>
    <text> 
    (Original Japanese text here)
    </text>
    <translation> 
    (Translated English text here)
    </translation>
</item_5>

<item_6>
    <text> 
    (Original Japanese text here)
    </text>
    <translation> 
    (Translated English text here)
    </translation>
</item_6>

<item_7>
    <text> 
    (Original Japanese text here)
    </text>
    <translation> 
    (Translated English text here)
    </translation>
</item_7>

<item_8>
    <text> 
    (Original Japanese text here)
    </text>
    <translation> 
    (Translated English text here)
    </translation>
</item_8>

<item_9>
    <text> 
    (Original Japanese text here)
    </text>
    <translation> 
    (Translated English text here)
    </translation>
</item_9>

<item_10>
    <text> 
    (Original Japanese text here)
    </text>
    <translation> 
    (Translated English text here)
    </translation>
</item_10>

<item_11>
    <text> 
    (Original Japanese text here)
    </text>
    <translation> 
    (Translated English text here)
    </translation>
</item_11>

<item_12>
    <text> 
    (Original Japanese text here)
    </text>
    <translation> 
    (Translated English text here)
    </translation>
</item_12>

<item_13>
    <text> 
    (Original Japanese text here)
    </text>
    <translation> 
    (Translated English text here)
    </translation>
</item_13>

<item_14>
    <text> 
    (Original Japanese text here)
    </text>
    <translation> 
    (Translated English text here)
    </translation>
</item_14>"
images/balloon_dream/ja/008.jpg,"<item_0>
    <text> 
    以前テレビで見たんです!
    </text>
    <translation> 
    I saw it on TV before!
    </translation>
</item_0>

<item_1>
    <text> 
    風船でフワフワとカメラが宇宙へ行って...
    </text>
    <translation> 
    The balloon floats and the camera goes to space...
    </translation>
</item_1>

<item_2>
    <text> 
    風船が割れてパラシュートで落ちてきて...
    </text>
    <translation> 
    The balloon bursts and the parachute falls down...
    </translation>
</item_2>

<item_3>
    <text> 
    カメラを回収したら地球の写真が撮れてるんです!
    </text>
    <translation> 
    When we recover the camera, we get a picture of the earth!
    </translation>
</item_3>

<item_4>
    <text> 
    ね?すっごくワクワクしませんか?
    </text>
    <translation> 
    Hey? Aren't you excited?
    </translation>
</item_4>

<item_5>
    <text> 
    なっ
    </text>
    <translation> 
    Ah!
    </translation>
</item_5>

<item_6>
    <text> 
    なにがちょっとした手伝いだあのボンクラ教師!!
    </text>
    <translation> 
    What a little help is that, that Bon克拉 teacher!!
    </translation>
</item_6>

<item_7>
    <text> 
    面倒くっさい奴人に押しつけてきやがって...!!
    </text>
    <translation> 
    I'm being pushed by a troublesome person...!!
    </translation>
</item_7>

<item_8>
    <text> 
    ?
    </text>
    <translation> 
    ?
    </translation>
</item_8>

<item_9>
    <text> 
    それに...
    </text>
    <translation> 
    Besides...
    </translation>
</item_9>

<item_10>
    <text> 
    だからたくさん風船がいるんですっ
    </text>
    <translation> 
    That's why there are so many balloons...
    </translation>
</item_10>

<item_11>
    <text> 
    相川さんもいっぱい膨らませちゃってください!
    </text>
    <translation> 
    Please inflate them as much as possible, Mr. Saito!
    </translation>
</item_11>

<item_12>
    <text> 
    あのなぁ
    </text>
    <translation> 
    Hey...
    </translation>
</item_12>"
images/balloon_dream/ja/009.jpg,"<item_0>
    <text> 
    ただ空気いれた風船をいくら集めても浮くわけねーだろ!!
    </text>
    <translation> 
    Even if you collect helium-filled balloons, they won't float, right?!
    </translation>
</item_0>

<item_1>
    <text> 
    むぐっ
    </text>
    <translation> 
    Mmm...
    </translation>
</item_1>

<item_2>
    <text> 
    こいつ絶対バカだし
    </text>
    <translation> 
    This guy is definitely a fool.
    </translation>
</item_2>

<item_3>
    <text> 
    .......?
    </text>
    <translation> 
    What...?
    </translation>
</item_3>

<item_4>
    <text> 
    なにあ然としてんの!?
    </text>
    <translation> 
    What are you so surprised about!?
    </translation>
</item_4>

<item_5>
    <text> 
    ヘリウム入れないと風船は浮かねーよ!!
    </text>
    <translation> 
    If you don't put helium in, the balloon won't float, right!?
    </translation>
</item_5>

<item_6>
    <text> 
    大体なんで使い捨てカメラなんだよ!
    </text>
    <translation> 
    It's just a disposable camera, anyway!
    </translation>
</item_6>

<item_7>
    <text> 
    あっ
    </text>
    <translation> 
    Ah!
    </translation>
</item_7>

<item_8>
    <text> 
    安かったので...
    </text>
    <translation> 
    It was cheap, so...
    </translation>
</item_8>

<item_9>
    <text> 
    宇宙でフィルム巻いてシャッターきる気か!?
    </text>
    <translation> 
    Are you going to wind the film in space and take a picture?!
    </translation>
</item_9>

<item_10>
    <text> 
    ったく
    </text>
    <translation> 
    Really...
    </translation>
</item_10>

<item_11>
    <text> 
    確かに原理的には可能かもしれないけどな...
    </text>
    <translation> 
    It might be possible in theory, but...
    </translation>
</item_11>

<item_12>
    <text> 
    地球の写真なんてネット上にいくらでも落ちてるだろ
    </text>
    <translation> 
    There are plenty of photos of Earth on the internet, you know...
    </translation>
</item_12>

<item_13>
    <text> 
    わざわざ自分で撮らなくたって...
    </translation>
    <translation> 
    I don't have to take pictures myself...
    </translation>
</item_13>

<item_14>
    <text> 
    ああ
    </text>
    <translation> 
    Ah
    </translation>
</item_14>

<item_15>
    <text> 
    それはですね...
    </text>
    <translation> 
    That's right...
    </translation>
</item_15>"
