image_path,outputs
images/balloon_dream/ja/000.jpg,"<item_0>
    <text> 
    夢の翼は
    </text>
    <translation> 
    The wings of dreams are
    </translation>
</item_0>

<item_1>
    <text> 
    蝋で固めてある
    </text>
    <translation> 
    They are solidified with wax.
    </translation>
</item_1>

<item_2>
    <text> 
    高く翔ぶほど
    </text>
    <translation> 
    The higher they fly,
    </translation>
</item_2>

<item_3>
    <text> 
    太陽に溶かされてしまう
    </text>
    <translation> 
    The more they will melt in the sun.
    </translation>
</item_3>

<item_4>
    <text> 
    ーだったら
    </text>
    <translation> 
    If that's the case,
    </translation>
</item_4>

<item_5>
    <text> 
    最初から翔ばない方がいい
    </text>
    <translation> 
    It would be better not to fly at all from the beginning.
    </translation>
</item_5>"
images/balloon_dream/ja/001.jpg,"<item_0>
    <text> 
    いつか必ず
    </text>
    <translation> 
    Someday, surely
    </translation>
</item_0>

<item_1>
    <text> 
    失敗です!!
    </text>
    <translation> 
    It's a failure!!
    </translation>
</item_1>

<item_2>
    <text> 
    有人ロケット「あさがお」が爆発!
    </text>
    <translation> 
    The manned rocket ""Asagao"" exploded!
    </translation>
</item_2>

<item_3>
    <text> 
    地に落ちるのだから
    </text>
    <translation> 
    Because it falls to the ground
    </translation>
</item_3>

<item_4>
    <text> 
    日本初の有人宇宙飛行は失敗しました!!
    </text>
    <translation> 
    Japan's first manned space flight was a failure!!
    </translation>
</item_4>"
images/balloon_dream/ja/002.jpg,"<item_0>
    <text> 
    バルーンドリーム
    </text>
    <translation> 
    Balloon Dream
    </translation>
</item_0>

<item_1>
    <text> 
    朽鷹みつき
    </text>
    <translation> 
    Mitsuki Kugatana
    </translation>
</item_1>"
images/balloon_dream/ja/003.jpg,"<item_0>
    <text> 
    十年後ーー夏
    </text>
    <translation> 
    Ten years later - Summer
    </translation>
</item_0>

<item_1>
    <text> 
    相川仁
    </text>
    <translation> 
    Jin Aikawa
    </translation>
</item_1>

<item_2>
    <text> 
    お前には一流の大学を目指す学力がある
    </text>
    <translation> 
    You have the academic ability to aim for a top university.
    </translation>
</item_2>

<item_3>
    <text> 
    なのになぜ三流大の推薦なんかを狙う?
    </text>
    <translation> 
    Then why are you aiming for a recommendation from a third-rate university?
    </translation>
</item_3>

<item_4>
    <text> 
    実に夢がない
    </text>
    <translation> 
    You really have no dreams.
    </translation>
</item_4>

<item_5>
    <text> 
    夢...?くだらない
    </text>
    <translation> 
    Dreams...? Ridiculous.
    </translation>
</item_5>

<item_6>
    <text> 
    楽で安全な道があるならそちらを選ぶべきでしょう
    </text>
    <translation> 
    If there's an easy and safe path, you should choose that, right?
    </translation>
</item_6>

<item_7>
    <text> 
    俺間違ってます?
    </text>
    <translation> 
    Am I wrong?
    </translation>
</item_7>

<item_8>
    <text> 
    いいぞぉ相川...
    </text>
    <translation> 
    Good job, Aikawa...
    </translation>
</item_8>

<item_9>
    <text> 
    お前のようなかわいくない生徒には
    </text>
    <translation> 
    For students like you who aren't cute,
    </translation>
</item_9>

<item_10>
    <text> 
    色々とモノを頼みやすい
    </text>
    <translation> 
    It's easier to ask for things.
    </translation>
</item_10>

<item_11>
    <text> 
    ?
    </text>
    <translation> 
    ?
    </translation>
</item_11>"
images/balloon_dream/ja/004.jpg,"<item_0>
    <text> 
    お前には夏休みの間
    </text>
    <translation> 
    I want you to help me during summer break.
    </translation>
</item_0>

<item_1>
    <text> 
    我が天文部の手伝いをしてもらう
    </text>
    <translation> 
    I want you to help out with my astronomy club.
    </translation>
</item_1>

<item_2>
    <text> 
    ?
    </text>
    <translation> 
    ?
    </translation>
</item_2>

<item_3>
    <text> 
    ちょっ
    </text>
    <translation> 
    Huh?
    </translation>
</item_3>

<item_4>
    <text> 
    なんで関係ない部活の手伝いなんかーー
    </text>
    <translation> 
    Why do I have to help with some unrelated club activity?!
    </translation>
</item_4>

<item_5>
    <text> 
    まあ聞け
    </text>
    <translation> 
    Just listen.
    </translation>
</item_5>

<item_6>
    <text> 
    お前が石橋を叩いて渡るのが好きなのはわかるが
    </text>
    <translation> 
    I know you like to play it safe,
    </translation>
</item_6>

<item_7>
    <text> 
    世の中虎穴に入らずんば虎子を得ずだ
    </text>
    <translation> 
    but you won't get the tiger's cub if you don't enter the tiger's den.
    </translation>
</item_7>

<item_8>
    <text> 
    先生はそれをお前に教えたい
    </text>
    <translation> 
    The teacher wants to teach you that.
    </translation>
</item_8>

<item_9>
    <text> 
    だから先生が温泉に行ってる間天文部を頼む
    </text>
    <translation> 
    That's why I'm asking you to take care of the astronomy club while the teacher is at the hot spring.
    </translation>
</item_9>

<item_10>
    <text> 
    旅行してぇだけだろ!!
    </text>
    <translation> 
    You just want to go on a trip, right?!
    </translation>
</item_10>"
images/balloon_dream/ja/005.jpg,"<item_0>
    <text> 
    ちっくしょ〜
    </text>
    <translation> 
    Damn it...
    </translation>
</item_0>

<item_1>
    <text> 
    なぜ俺がこんなことを...
    </text>
    <translation> 
    Why do I have to do this...
    </translation>
</item_1>

<item_2>
    <text> 
    手伝わんなら推薦はやらん
    </text>
    <translation> 
    If you don't help, I won't recommend you.
    </translation>
</item_2>

<item_3>
    <text> 
    脅迫じゃねーかあのパワハラ教師!!
    </text>
    <translation> 
    That's harassment from that power-harassing teacher!!
    </translation>
</item_3>

<item_4>
    <text> 
    ...天文部
    </text>
    <translation> 
    ...Astronomy Club
    </translation>
</item_4>

<item_5>
    <text> 
    ここか
    </text>
    <translation> 
    Is this it?
    </translation>
</item_5>

<item_6>
    <text> 
    失礼しまーす
    </text>
    <translation> 
    Excuse me
    </translation>
</item_6>

<item_7>
    <text> 
    ん?
    </text>
    <translation> 
    Huh?
    </translation>
</item_7>

<item_8>
    <text> 
    うおおおおおおおおお!?
    </text>
    <translation> 
    Whoa!?
    </translation>
</item_8>"
images/balloon_dream/ja/006.jpg,"<item_0>
    <text> 
    な、なんだこれ!?
    </text>
    <translation> 
    What is this!?
    </translation>
</item_0>

<item_1>
    <text> 
    ...風船?
    </text>
    <translation> 
    ...Balloons?
    </translation>
</item_1>

<item_2>
    <text> 
    すっすみません今散らかってて
    </text>
    <translation> 
    I'm really sorry it's so messy right now.
    </translation>
</item_2>

<item_3>
    <text> 
    あっもしかしてお手伝いの方ですか?
    </text>
    <translation> 
    Oh, are you here to help?
    </translation>
</item_3>

<item_4>
    <text> 
    ようこそ!
    </text>
    <translation> 
    Welcome!
    </translation>
</item_4>

<item_5>
    <text> 
    風船いっぱい夢いっぱいの天文部へ!
    </text>
    <translation> 
    To the astronomy club full of balloons and dreams!
    </translation>
</item_5>"
images/balloon_dream/ja/007.jpg,"<item_0>
    <text> 
    改まして!
    </text>
    <translation> 
    Nice to meet you again!
    </translation>
</item_0>

<item_1>
    <text> 
    部長の園山みずきです!
    </text>
    <translation> 
    I'm Mizuki Sonoyama, the president of the club!
    </translation>
</item_1>

<item_2>
    <text> 
    先生から伺ってます相川さんですよね
    </text>
    <translation> 
    I've heard about you from the teacher, Aikawa-san, right?
    </translation>
</item_2>

<item_3>
    <text> 
    この度はよろしくお願いいたします
    </text>
    <translation> 
    Please take care of me from now on.
    </translation>
</item_3>

<item_4>
    <text> 
    いっ　いえ
    </text>
    <translation> 
    No, no
    </translation>
</item_4>

<item_5>
    <text> 
    こちらこそ!?
    </text>
    <translation> 
    You too!?
    </translation>
</item_5>

<item_6>
    <text> 
    なんだこいつ...
    </text>
    <translation> 
    What's with this guy...
    </translation>
</item_6>

<item_7>
    <text> 
    他に部員はいないのか!?
    </text>
    <translation> 
    Are there no other members!?
    </translation>
</item_7>

<item_8>
    <text> 
    さっそく本題に入りたいのですがーー
    </text>
    <translation> 
    I'd like to get straight to the point...
    </translation>
</item_8>

<item_9>
    <text> 
    帰りて〜
    </text>
    <translation> 
    Go back~
    </translation>
</item_9>

<item_10>
    <text> 
    じゃじゃーん!!
    </text>
    <translation> 
    Ta-da!!
    </translation>
</item_10>

<item_11>
    <text> 
    風船で
    </text>
    <translation> 
    With a balloon
    </translation>
</item_11>

<item_12>
    <text> 
    カメラを宇宙に上げるんです!!
    </text>
    <translation> 
    We're going to send a camera to space!!
    </translation>
</item_12>

<item_13>
    <text> 
    カメラを?
    </text>
    <translation> 
    A camera?
    </translation>
</item_13>

<item_14>
    <text> 
    風船で
    </text>
    <translation> 
    With a balloon
    </translation>
</item_14>"
images/balloon_dream/ja/008.jpg,"<item_0>
    <text> 
    以前テレビで見たんです!
    </text>
    <translation> 
    I saw it on TV before!
    </translation>
</item_0>

<item_1>
    <text> 
    風船でフワフワとカメラが宇宙へ行って...
    </text>
    <translation> 
    The camera goes up into space with the balloon...
    </translation>
</item_1>

<item_2>
    <text> 
    風船が割れてパラシュートで落ちてきて...
    </text>
    <translation> 
    The balloon bursts and the parachute comes down...
    </translation>
</item_2>

<item_3>
    <text> 
    カメラを回収したら地球の写真が撮れてるんです!
    </text>
    <translation> 
    If we recover the camera, we can take pictures of the Earth!
    </translation>
</item_3>

<item_4>
    <text> 
    ね?すっごくワクワクしませんか?
    </text>
    <translation> 
    Right? Aren't you super excited?
    </translation>
</item_4>

<item_5>
    <text> 
    なっ
    </text>
    <translation> 
    Nn
    </translation>
</item_5>

<item_6>
    <text> 
    なにがちょっとした手伝いだあのボンクラ教師!!
    </text>
    <translation> 
    What kind of small favor is that, that bumbling teacher?!
    </translation>
</item_6>

<item_7>
    <text> 
    面倒くっさい奴人に押しつけてきやがって...!!
    </text>
    <translation> 
    He's pushing this troublesome task onto me...!!
    </translation>
</item_7>

<item_8>
    <text> 
    ?
    </text>
    <translation> 
    ?
    </translation>
</item_8>

<item_9>
    <text> 
    それに...
    </text>
    <translation> 
    Besides...
    </translation>
</item_9>

<item_10>
    <text> 
    だからたくさん風船がいるんですっ
    </text>
    <translation> 
    That's why there are so many balloons!
    </translation>
</item_10>

<item_11>
    <text> 
    相川さんもいっぱい膨らませちゃってください!
    </text>
    <translation> 
    Please inflate as many as possible, Aizawa-san!
    </translation>
</item_11>

<item_12>
    <text> 
    あのなぁ
    </text>
    <translation> 
    Hey now
    </translation>
</item_12>"
images/balloon_dream/ja/009.jpg,"<item_0>
    <text> 
    ただ空気いれた風船をいくら集めても浮くわけねーだろ!!
    </text>
    <translation> 
    Even if you gather as many air-filled balloons as you want, they won't float!!
    </translation>
</item_0>

<item_1>
    <text> 
    むぐっ
    </text>
    <translation> 
    Mmph
    </translation>
</item_1>

<item_2>
    <text> 
    こいつ絶対バカだし
    </text>
    <translation> 
    This guy is definitely an idiot.
    </translation>
</item_2>

<item_3>
    <text> 
    .......?
    </text>
    <translation> 
    .......?
    </translation>
</item_3>

<item_4>
    <text> 
    なにあ然としてんの!?
    </text>
    <translation> 
    What are you doing!?!
    </translation>
</item_4>

<item_5>
    <text> 
    ヘリウム入れないと風船は浮かねーよ!!
    </text>
    <translation> 
    The balloon won't float unless you put helium in it!!
    </translation>
</item_5>

<item_6>
    <text> 
    大体なんで使い捨てカメラなんだよ!
    </text>
    <translation> 
    Why did you use a disposable camera in the first place!?
    </translation>
</item_6>

<item_7>
    <text> 
    あっ
    </text>
    <translation> 
    Ah
    </translation>
</item_7>

<item_8>
    <text> 
    安かったので...
    </text>
    <translation> 
    It was cheap so...
    </translation>
</item_8>

<item_9>
    <text> 
    宇宙でフィルム巻いてシャッターきる気か!?
    </text>
    <translation> 
    Are you planning to wind the film and take pictures in space!?
    </translation>
</item_9>

<item_10>
    <text> 
    ったく
    </text>
    <translation> 
    Tsk tsk
    </translation>
</item_10>

<item_11>
    <text> 
    確かに原理的には可能かもしれないけどな...
    </text>
    <translation> 
    It might be possible in theory...
    </translation>
</item_11>

<item_12>
    <text> 
    地球の写真なんてネット上にいくらでも落ちてるだろ
    </text>
    <translation> 
    There are plenty of pictures of Earth on the internet anyway.
    </translation>
</item_12>

<item_13>
    <text> 
    わざわざ自分で撮らなくたって...
    </text>
    <translation> 
    You don't have to go out of your way to take them yourself...
    </translation>
</item_13>

<item_14>
    <text> 
    ああ
    </text>
    <translation> 
    Ah
    </translation>
</item_14>

<item_15>
    <text> 
    それはですね...
    </text>
    <translation> 
    Well, you see...
    </translation>
</item_15>"
