book_title,image_path,text_ja,text_en,book_index,image_book_concat,outputs,text_translated
balloon_dream,images/balloon_dream/ja/000.jpg,夢の翼は,"the wings of dreams,",0,images/balloon_dream/ja/000.jpg_0,<text>夢の翼は</text><translation>The wings of dreams</translation><text>蝋で固めてある</text><translation>It is hardened with wax</translation><text>高く翔ぶほど</text><translation>The higher it flies</translation><text>太陽に溶かされてしまう</text><translation>It will be melted by the sun</translation><text>ーだったら</text><translation>But if</translation><text>最初から翔ばない方がいい</text><translation>It's better not to fly from the start</translation>,The wings of dreams
balloon_dream,images/balloon_dream/ja/000.jpg,蝋で固めてある,were coated with wax.,1,images/balloon_dream/ja/000.jpg_1,<text>夢の翼は</text><translation>The wings of dreams</translation><text>蝋で固めてある</text><translation>It is hardened with wax</translation><text>高く翔ぶほど</text><translation>The higher it flies</translation><text>太陽に溶かされてしまう</text><translation>It will be melted by the sun</translation><text>ーだったら</text><translation>But if</translation><text>最初から翔ばない方がいい</text><translation>It's better not to fly from the start</translation>,It is hardened with wax
balloon_dream,images/balloon_dream/ja/000.jpg,高く翔ぶほど,"as it flys higher,",2,images/balloon_dream/ja/000.jpg_2,<text>夢の翼は</text><translation>The wings of dreams</translation><text>蝋で固めてある</text><translation>It is hardened with wax</translation><text>高く翔ぶほど</text><translation>The higher it flies</translation><text>太陽に溶かされてしまう</text><translation>It will be melted by the sun</translation><text>ーだったら</text><translation>But if</translation><text>最初から翔ばない方がいい</text><translation>It's better not to fly from the start</translation>,The higher it flies
balloon_dream,images/balloon_dream/ja/000.jpg,太陽に溶かされてしまう,it'll melt by the sun.,3,images/balloon_dream/ja/000.jpg_3,<text>夢の翼は</text><translation>The wings of dreams</translation><text>蝋で固めてある</text><translation>It is hardened with wax</translation><text>高く翔ぶほど</text><translation>The higher it flies</translation><text>太陽に溶かされてしまう</text><translation>It will be melted by the sun</translation><text>ーだったら</text><translation>But if</translation><text>最初から翔ばない方がいい</text><translation>It's better not to fly from the start</translation>,It will be melted by the sun
balloon_dream,images/balloon_dream/ja/000.jpg,ーだったら,...if so,4,images/balloon_dream/ja/000.jpg_4,<text>夢の翼は</text><translation>The wings of dreams</translation><text>蝋で固めてある</text><translation>It is hardened with wax</translation><text>高く翔ぶほど</text><translation>The higher it flies</translation><text>太陽に溶かされてしまう</text><translation>It will be melted by the sun</translation><text>ーだったら</text><translation>But if</translation><text>最初から翔ばない方がいい</text><translation>It's better not to fly from the start</translation>,But if
balloon_dream,images/balloon_dream/ja/000.jpg,最初から翔ばない方がいい,why fly in the first place.,5,images/balloon_dream/ja/000.jpg_5,<text>夢の翼は</text><translation>The wings of dreams</translation><text>蝋で固めてある</text><translation>It is hardened with wax</translation><text>高く翔ぶほど</text><translation>The higher it flies</translation><text>太陽に溶かされてしまう</text><translation>It will be melted by the sun</translation><text>ーだったら</text><translation>But if</translation><text>最初から翔ばない方がいい</text><translation>It's better not to fly from the start</translation>,It's better not to fly from the start
balloon_dream,images/balloon_dream/ja/001.jpg,いつか必ず,because someday,0,images/balloon_dream/ja/001.jpg_0,"<text>いつか必ず</text><translation>It will happen someday</translation><text>失敗です!!</text><translation>It's a failure!!</translation><text>有人ロケット「あさがお」が爆発!</text><translation>The manned rocket ""Asagao"" exploded!</translation><text>地に落ちるのだから</text><translation>It will surely fall to the ground</translation><text>日本初の有人宇宙飛行は失敗しました!!</text><translation>The first manned space flight in Japan failed!!</translation>",It will happen someday
balloon_dream,images/balloon_dream/ja/001.jpg,失敗です!!,It failed!!,1,images/balloon_dream/ja/001.jpg_1,"<text>いつか必ず</text><translation>It will happen someday</translation><text>失敗です!!</text><translation>It's a failure!!</translation><text>有人ロケット「あさがお」が爆発!</text><translation>The manned rocket ""Asagao"" exploded!</translation><text>地に落ちるのだから</text><translation>It will surely fall to the ground</translation><text>日本初の有人宇宙飛行は失敗しました!!</text><translation>The first manned space flight in Japan failed!!</translation>",It's a failure!!
balloon_dream,images/balloon_dream/ja/001.jpg,有人ロケット「あさがお」が爆発!,"Manned rocket ""Asagao"" has exploded!",2,images/balloon_dream/ja/001.jpg_2,"<text>いつか必ず</text><translation>It will happen someday</translation><text>失敗です!!</text><translation>It's a failure!!</translation><text>有人ロケット「あさがお」が爆発!</text><translation>The manned rocket ""Asagao"" exploded!</translation><text>地に落ちるのだから</text><translation>It will surely fall to the ground</translation><text>日本初の有人宇宙飛行は失敗しました!!</text><translation>The first manned space flight in Japan failed!!</translation>","The manned rocket ""Asagao"" exploded!"
balloon_dream,images/balloon_dream/ja/001.jpg,地に落ちるのだから,everything falls back ground,3,images/balloon_dream/ja/001.jpg_3,"<text>いつか必ず</text><translation>It will happen someday</translation><text>失敗です!!</text><translation>It's a failure!!</translation><text>有人ロケット「あさがお」が爆発!</text><translation>The manned rocket ""Asagao"" exploded!</translation><text>地に落ちるのだから</text><translation>It will surely fall to the ground</translation><text>日本初の有人宇宙飛行は失敗しました!!</text><translation>The first manned space flight in Japan failed!!</translation>",It will surely fall to the ground
