text_ja,translated,image_path,book_title,text_en,book_index,image_book_concat
夢の翼は,The wings of dreams are,images/balloon_dream/ja/000.jpg,balloon_dream,"the wings of dreams,",0,images/balloon_dream/ja/000.jpg_0
蝋で固めてある,They are solidified with pitch,images/balloon_dream/ja/000.jpg,balloon_dream,were coated with wax.,1,images/balloon_dream/ja/000.jpg_1
高く翔ぶほど,The higher they fly,images/balloon_dream/ja/000.jpg,balloon_dream,"as it flys higher,",2,images/balloon_dream/ja/000.jpg_2
太陽に溶かされてしまう,They will be melted by the sun,images/balloon_dream/ja/000.jpg,balloon_dream,it'll melt by the sun.,3,images/balloon_dream/ja/000.jpg_3
ーだったら,If it were,images/balloon_dream/ja/000.jpg,balloon_dream,...if so,4,images/balloon_dream/ja/000.jpg_4
最初から翔ばない方がいい,It's better not to fly from the start,images/balloon_dream/ja/000.jpg,balloon_dream,why fly in the first place.,5,images/balloon_dream/ja/000.jpg_5
いつか必ず,Eventually,images/balloon_dream/ja/001.jpg,balloon_dream,because someday,0,images/balloon_dream/ja/001.jpg_0
失敗です!!,It's a failure!!,images/balloon_dream/ja/001.jpg,balloon_dream,It failed!!,1,images/balloon_dream/ja/001.jpg_1
有人ロケット「あさがお」が爆発!,"The manned rocket ""Asagao"" exploded!",images/balloon_dream/ja/001.jpg,balloon_dream,"Manned rocket ""Asagao"" has exploded!",2,images/balloon_dream/ja/001.jpg_2
地に落ちるのだから,It will surely fall to the ground,images/balloon_dream/ja/001.jpg,balloon_dream,everything falls back ground,3,images/balloon_dream/ja/001.jpg_3
日本初の有人宇宙飛行は失敗しました!!,The first manned space flight in Japan failed!!,images/balloon_dream/ja/001.jpg,balloon_dream,Japan's first manned space flight has failed!,4,images/balloon_dream/ja/001.jpg_4
バルーンドリーム,Balloon Dream,images/balloon_dream/ja/002.jpg,balloon_dream,balloon dream,0,images/balloon_dream/ja/002.jpg_0
朽鷹みつき,Mitsuaki Kuroagi,images/balloon_dream/ja/002.jpg,balloon_dream,mitsuki kuchitaka,1,images/balloon_dream/ja/002.jpg_1
